,name,addr,lat,lng
4167,大埕,台南市七股區大珵里272號1樓,23.257700015263442,120.31254121968945
4168,感恩,台南市永康區烏竹里自強路825-1號,23.037658427433698,120.26427315277866
4169,榮譽,台南市東區榮譽街86號86-1號1樓,22.974613449622048,120.21726064071788
4170,新國,台南市新營區大宏里民治東路1號1樓2樓,23.311099477927232,120.32261977990652
4171,財神,台南市東區中華東路二段171-177號,22.98503338550986,120.23294175742971
4172,晶圓,台南市善化區南科北路1-1號(P3廠),23.112531576461443,120.27581234165275
4173,新北中,台南市佳里區延平路195號,23.15875242270184,120.17860951344578
4174,港達,台南市安定區港口里245-10號1樓,23.092200000000048,120.22735000000011
4175,山上,台南市山上區南洲337-3號,23.103380000000072,120.35202000000004
4176,崇祐,台南市東區崇成里崇明路561號1樓,22.970961670552256,120.2256593473656
4177,東美,台南市東山區中興路1號,23.32195454593456,120.40328930584579
4178,新北,台南市新營區民治路228號1樓,23.30796622981702,120.30448927018297
4179,南都,台南市南區金華路一段27號1樓,22.961946499307512,120.1892987576895
4180,白河,台南市白河區永安里17鄰國泰路101號,23.347496326389333,120.41374484318199
4181,鹽生,台南市鹽水區南門路1號,23.316334279790933,120.26681677214489
4182,海寮,台南市安定區海寮里海寮街8號,23.09650548903574,120.20979074617698
4183,灣中,台南市永康區大灣路62號,23.01208101471518,120.27094395974957
4184,歡雅,台南市鹽水區歡雅里26號,23.283720000000073,120.24110000000007
4185,鄭子寮,台南市北區成德里38鄰北成路442號,23.019009243147213,120.20149274617695
4186,太子宮,台南市新營區太北里太子宮142-34號,23.29459887316061,120.27379269525075
4187,嘉科大,台南市仁德區保安里二仁路一段60號,22.92445480283806,120.22319665971372
4188,東都,台南市北區成功路140號,22.998589323071112,120.20457976103641
4189,新森榮,台南市中西區成功路451號453號,23.001211887847123,120.19667125047616
4190,豐生,台南市歸仁區看東里中山路一段305號,22.965782071873814,120.30254493949451
4191,東城,台南市東區中華東路二段293號,22.98261092922271,120.23086252706445
4192,湖華,台南市中西區西湖街3號,23.00336150346246,120.18672900000001
4193,新麻豆,台南市麻豆區榖興里11鄰中山路11號,23.183709477350305,120.24774207328745
4194,東森,台南市北區林森路三段76號78號,23.002936292255768,120.2248377124761
4195,佳龍,台南市佳里區建南里勝利路216號1樓,23.14849829003406,120.18007316527213
4196,台首大,台南市麻豆區南勢里168號1樓,23.19476000000003,120.2627500000001
4197,安北,台南市安南區安中路一段546號552號,23.0403554207686,120.20021334124873
4198,新工,台南市柳營區東昇里中山西路一段2號1樓,23.279200500432697,120.32497799999999
4199,西勢,台南市永康區西勢里富強路一段304號,23.0196333141843,120.27538928186841
4200,永一,台南市永康區正強街221號1樓,23.0293305051359,120.251610937417
4201,佳文,台南市佳里區佳西路215號1樓,23.162841,120.16762007271053
4202,昜昇,台南市安平區安北路12-1號1樓,22.999420393011675,120.1678627414738
4203,新蓮鄉,台南市白河區永安里大德街150號1樓,23.35476270430142,120.41254679569856
4204,慶平,台南市安平區慶平路235號1樓,22.9968955434244,120.17750397890819
4205,北育,台南市北區成德里北安路一段189號,23.018053862052103,120.20808237010216
4206,水仙宮,台南市中西區水仙里民權路三段87號1樓,22.996773618645094,120.19744237385311
4207,崇原,台南市東山區東原里24鄰前大埔191號1樓,23.283870000000036,120.45236000000011
4208,善安,台南市安定區蘇林里7號,23.124510000000043,120.25832000000003
4209,天公,台南市中西區忠義路二段109號,22.99398854232788,120.20322213973692
4210,松美,台南市善化區小新里成功路2-2號,23.12721545796058,120.31891720705175
4211,南醫,台南市中西區民族路二段76號之13,22.994587476282444,120.20918594838132
4212,林鳳營,台南市六甲區中社里林鳳營111-8號1樓,23.243892870419305,120.31575545622982
4213,和善,台南市中西區藥王里民族路三段6鄰277號1樓,22.997680323071105,120.19937881932019
4214,社頂,台南市新市區大社里大社710號1樓,23.089371255612043,120.31760407146982
4215,鈺勝,台南市北區小東路307巷75號77號1樓,23.00057939272322,120.23092096139438
4216,裕文,台南市東區裕學路1號,22.984558786080328,120.23735248494995
4217,知母義,台南市新化區知義里知母義15號之20一樓,23.021851019760454,120.31414310236022
4218,東橋,台南市永康區東橋一路28號,23.017032030815354,120.23511253817296
4219,東山站,台南市東山區科里里枋子林74-6號,23.284842654711902,120.39771205591786
4220,土定富,台南市南區田寮里大成路二段86號88號,22.974963463788974,120.19499913044609
4221,永科,台南市永康區新樹里3鄰中山北路634巷7號,23.03067047821569,120.27788941326679
4222,新興,台南市南區光明里新興路6鄰529號531號1樓,22.974783769346278,120.18701359991923
4223,樂豐,台南市南區新都路460號,22.967136471002334,120.19317336663977
4224,新家專,台南市永康區鹽行里中正路12鄰545號1樓,23.02925573855959,120.25559980197929
4225,七甲,台南市六甲區六甲里中正路321之1號,23.226322850683804,120.35121204772358
4226,將軍,台南市將軍區長榮里長榮29之2號,23.19713695115125,120.1583001319753
4227,群創C,台南市善化區南科八路12號B1,23.114649227336635,120.2752821106141
4228,奇美實,台南市仁德區三甲里59-1號,22.960325615944342,120.21713215318356
4229,菁寮,台南市後壁區墨林里346號,23.374820000000057,120.34307000000001
4230,成醫,台南市北區小東路35號(成大醫院門診一樓),23.001129322263047,120.21774089370415
4231,新P5,台南市善化區南科九路17號(P5P6廠O棟),23.114832834814788,120.26706413990978
4232,正新,台南市永康區甲頂里大武街33號,23.020134485429054,120.2226485080501
4233,新南科,台南市新市區南科三路17號1樓(台南科學工業區),23.09873592328313,120.28177575097419
4234,南門城,台南市中西區南門路229號1樓,22.98370295697964,120.2039676869409
