name,addr,lat,lng
南龍,台南市佳里區建南里安南路22鄰256號,23.15204359,120.179875
龍成,台南市北區成功路2號,22.99764432,120.2114766
臻鈺,台南市永康區勝利里18鄰勝學路226號,23.00625405,120.2312494
五王,台南市永康區中華二路146號1樓,23.00862145,120.2379216
安興,台南市永康區北灣里20鄰北興路51號,23.01430926,120.2656478
東澓,台南市東區富農街一段167號1樓,22.98261483,120.2348727
自由,台南市東區和平里自由路二段37號,22.97189822,120.2374927
南瀛,台南市永康區鹽行里中正路299號,23.03388148,120.2452893
新海佃,台南市安南區海佃路一段239號一樓,23.02562606,120.1912201
清美,台南市新化區協興里中山路624號,23.03666663,120.2995753
新永健,台南市中西區健康路一段346號,22.98146746,120.19995
新東灣,台南市永康區民族路186號188號1樓,23.00518748,120.2697521
華東,台南市永康區中華路472號,23.01100801,120.2324363
遠專,台南市新市區永就里中華路53巷9號,23.06437623,120.2946712
大府,台南市中西區府前路二段115號1樓2樓,22.99113393,120.1945837
永華東,台南市安平區永華路二段210號,22.98989836,120.1811953
鹽金,台南市鹽水區義稠里8鄰義稠110之19號,23.32600252,120.2539265
全興,台南市南區新樂路72號,22.96863221,120.1744092
茄拔,台南市善化區嘉北里13鄰352號,23.14615,120.3293
安傑,台南市安南區頂安里北安路二段480號1樓,23.03611744,120.2032982
德航,台南市仁德區大同路三段202號,22.95710826,120.2173499
臻品,台南市永康區三合里中山東路117號119號1樓,23.01214598,120.2364969
長益,台南市仁德區土庫里太子路233號,22.99121652,120.2616006
大營,台南市新市區大營里136-1號,23.09258491,120.309605
學甲,台南市學甲區仁得里華宗路321號,23.22854716,120.1828835
P7廠,台南市善化區南關里三抱竹路1號,23.10811485,120.2685317
永玉,台南市永康區龍潭里永明街175號,23.02461541,120.2625894
省新,台南市新市區永就里9鄰中山路180號1樓,23.07208797,120.2979933
德緯,台南市北區成德里育德二路20鄰308號,23.00791779,120.2025525
環安,台南市安南區長和路二段12巷272號,23.0700965,120.2230608
宜翔,台南市柳營區中埕里中山西路二段10鄰61號,23.27770628,120.3171377
邦品廠,台南市善化區環西路二段3號,23.10997608,120.2721383
修齊,台南市北區成功路54號,22.99804991,120.207424
白金,台南市永康區復國一路357號,23.01221918,120.2465113
大通,台南市歸仁區和平北街32號,22.96779141,120.2963003
復康,台南市永康區二王里忠孝路429巷15弄6號,23.01831658,120.2435919
總頭寮,台南市安南區長溪路二段416號,23.0514252,120.2027378
西濱,台南市南區中華南路二段317號319號,22.96170053,120.185198
晶越,台南市中西區西門路一段658號B2,22.9868254,120.1976194
加吉吉,台南市安南區新順里培安路155號,23.04251034,120.2117984
康平,台南市安平區健康三街81號,22.98717266,120.1682806
嘉凱,台南市仁德區保安里保安路一段56巷55號,22.92195972,120.2279497
新康華,台南市永康區大橋二街38號,23.01889245,120.2274166
和緯,台南市北區成功里和緯路二段252號,23.01224631,120.2062732
郡王,台南市中西區府前路一段144號,22.9890355,120.2073795
學成,台南市學甲區慈生里中正路296號,23.23446008,120.1805307
信雄,台南市永康區南台街1號,23.02232415,120.2249907
忠勇,台南市永康區成功里小東路4鄰637號1樓,22.99855947,120.238168
力大,台南市東區生產路299號,22.96507455,120.229597
西港,台南市西港區西港里中山路366-1號,23.12245991,120.2031806
怡平,台南市安平區文平路462號1樓,22.99419734,120.1788886
新東,台南市東區林森路二段84號,22.98704734,120.2230595
小北,台南市北區西門路四段455號,23.01782893,120.2119693
歸仁,台南市歸仁區中山路二段60號,22.96697932,120.2923819
東龍,台南市東區東門路一段362號,22.98666965,120.218602
立登,台南市歸仁區民生北路106號,22.97055606,120.2810183
赤崁,台南市中西區民族路二段331號,22.99677574,120.2026632
仙草埔,台南市白河區仙草里仙草6之30號,23.3470708,120.4724738
裕豐,台南市東區東門路二段291號,22.98344844,120.2263283
